StartController,controller starts
rts,runtime system starts to run
StartRecvModule,start recvModule
ControllerExecution,Begin#NewStatsIn$1370892180.715561$61$2$74#AddNewDataToBuffer$1370892180.715605$61$2$74#NewStatsIn$1370892181.730126$61$2$75#AddNewDataToBuffer$1370892181.730149$61$2$75#ReleaseBuffer$1370892181.730155$61$2$74#StartRunGo$1370892181.730486$61$2#DoneRunGo$1370892181.730619$61$2
ControllerExecution,Begin#NewStatsIn$1370892182.626165$61$2$76#AddNewDataToBuffer$1370892182.626188$61$2$76#ReleaseBuffer$1370892182.626194$61$2$75#StartRunGo$1370892182.626347$61$2#DoneRunGo$1370892182.626490$61$2
ControllerExecution,Begin#NewStatsIn$1370892182.634931$61$2$76#AddNewDataToBuffer$1370892182.634940$61$2$76#NewStatsIn$1370892182.727814$61$2$76#AddNewDataToBuffer$1370892182.727823$61$2$76#NewStatsIn$1370892183.635769$61$2$77#AddNewDataToBuffer$1370892183.635792$61$2$77#ReleaseBuffer$1370892183.635798$61$2$76#StartRunGo$1370892183.635955$61$2#DoneRunGo$1370892183.636120$61$2
ControllerExecution,Begin#NewStatsIn$1370892183.636343$61$2$77#AddNewDataToBuffer$1370892183.636352$61$2$77#NewStatsIn$1370892183.727736$61$2$77#AddNewDataToBuffer$1370892183.727756$61$2$77#NewStatsIn$1370892183.864966$61$2$77#AddNewDataToBuffer$1370892183.864988$61$2$77#ReleaseBuffer$1370892183.864996$61$2$77#StartRunGo$1370892183.865140$61$2#DoneRunGo$1370892183.865315$61$2
ControllerExecution,Begin#NewStatsIn$1370892184.633379$61$2$78#AddNewDataToBuffer$1370892184.633402$61$2$78#NewStatsIn$1370892184.636457$61$2$78#AddNewDataToBuffer$1370892184.636466$61$2$78#NewStatsIn$1370892184.726072$61$2$78#AddNewDataToBuffer$1370892184.726086$61$2$78#NewStatsIn$1370892184.863548$61$2$78#AddNewDataToBuffer$1370892184.863571$61$2$78#ReleaseBuffer$1370892184.863578$61$2$78#StartRunGo$1370892184.863728$61$2#DoneRunGo$1370892184.863886$61$2
ControllerExecution,Begin#NewStatsIn$1370892185.635612$61$2$79#AddNewDataToBuffer$1370892185.635634$61$2$79#NewStatsIn$1370892185.635951$61$2$79#AddNewDataToBuffer$1370892185.635959$61$2$79#NewStatsIn$1370892185.726706$61$2$79#AddNewDataToBuffer$1370892185.726715$61$2$79#NewStatsIn$1370892185.863154$61$2$79#AddNewDataToBuffer$1370892185.863167$61$2$79#ReleaseBuffer$1370892185.863173$61$2$79#StartRunGo$1370892185.863324$61$2#DoneRunGo$1370892185.863471$61$2
ControllerExecution,Begin#NewStatsIn$1370892186.632806$61$2$80#AddNewDataToBuffer$1370892186.632829$61$2$80#NewStatsIn$1370892186.636581$61$2$80#AddNewDataToBuffer$1370892186.636590$61$2$80#NewStatsIn$1370892186.726523$61$2$80#AddNewDataToBuffer$1370892186.726534$61$2$80#NewStatsIn$1370892186.863285$61$2$80#AddNewDataToBuffer$1370892186.863295$61$2$80#ReleaseBuffer$1370892186.863301$61$2$80#StartRunGo$1370892186.863447$61$2#DoneRunGo$1370892186.863593$61$2
ControllerExecution,Begin#NewStatsIn$1370892187.633565$61$2$81#AddNewDataToBuffer$1370892187.633580$61$2$81#NewStatsIn$1370892187.635318$61$2$81#AddNewDataToBuffer$1370892187.635327$61$2$81#NewStatsIn$1370892187.725064$61$2$81#AddNewDataToBuffer$1370892187.725073$61$2$81#NewStatsIn$1370892187.863308$61$2$81#AddNewDataToBuffer$1370892187.863317$61$2$81#ReleaseBuffer$1370892187.863322$61$2$81#StartRunGo$1370892187.863448$61$2#DoneRunGo$1370892187.863589$61$2
ControllerExecution,Begin#NewStatsIn$1370892188.632044$61$2$82#AddNewDataToBuffer$1370892188.632059$61$2$82#NewStatsIn$1370892188.636479$61$2$82#AddNewDataToBuffer$1370892188.636487$61$2$82#NewStatsIn$1370892188.725355$61$2$82#AddNewDataToBuffer$1370892188.725372$61$2$82#NewStatsIn$1370892188.862153$61$2$82#AddNewDataToBuffer$1370892188.862170$61$2$82#ReleaseBuffer$1370892188.862177$61$2$82#StartRunGo$1370892188.862336$61$2#DoneRunGo$1370892188.862468$61$2
ControllerExecution,Begin#NewStatsIn$1370892189.631841$61$2$83#AddNewDataToBuffer$1370892189.631863$61$2$83#NewStatsIn$1370892189.635304$61$2$83#AddNewDataToBuffer$1370892189.635313$61$2$83#NewStatsIn$1370892189.723338$61$2$83#AddNewDataToBuffer$1370892189.723347$61$2$83#NewStatsIn$1370892189.861145$61$2$83#AddNewDataToBuffer$1370892189.861158$61$2$83#ReleaseBuffer$1370892189.861165$61$2$83#StartRunGo$1370892189.861331$61$2#DoneRunGo$1370892189.861462$61$2
ControllerExecution,Begin#NewStatsIn$1370892190.631655$61$2$84#AddNewDataToBuffer$1370892190.631677$61$2$84#NewStatsIn$1370892190.636270$61$2$84#AddNewDataToBuffer$1370892190.636278$61$2$84#NewStatsIn$1370892190.724572$61$2$84#AddNewDataToBuffer$1370892190.724581$61$2$84#NewStatsIn$1370892190.861021$61$2$84#AddNewDataToBuffer$1370892190.861031$61$2$84#ReleaseBuffer$1370892190.861037$61$2$84#StartRunGo$1370892190.861189$61$2#DoneRunGo$1370892190.861314$61$2
ControllerExecution,Begin#NewStatsIn$1370892191.631008$61$2$85#AddNewDataToBuffer$1370892191.631030$61$2$85#NewStatsIn$1370892191.636201$61$2$85#AddNewDataToBuffer$1370892191.636210$61$2$85#NewStatsIn$1370892191.722882$61$2$85#AddNewDataToBuffer$1370892191.722892$61$2$85#NewStatsIn$1370892191.860545$61$2$85#AddNewDataToBuffer$1370892191.860556$61$2$85#ReleaseBuffer$1370892191.860562$61$2$85#StartRunGo$1370892191.860723$61$2#DoneRunGo$1370892191.860845$61$2
