StartController,controller starts
rts,runtime system starts to run
StartRecvModule,start recvModule
ControllerExecution,Begin#AddNewDataToBuffer$1370901854.990988$61$6$4#ReleaseBuffer$1370901854.991014$61$6$4#AddNewDataToBuffer$1370901854.994928$61$6$4#ReleaseBuffer$1370901854.994947$61$6$4#StartRunGo$1370901854.995454$61$6#DoneRunGo$1370901854.995562$61$6
ControllerExecution,Begin#StartRunGo$1370901854.996012$61$6#DoneRunGo$1370901854.996079$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901855.027945$61$7$4#ReleaseBuffer$1370901855.027959$61$7$4#StartRunGo$1370901855.029629$61$7#AddNewDataToBuffer$1370901855.030438$61$7$4#ReleaseBuffer$1370901855.030452$61$7$4#DoneRunGo$1370901855.031237$61$7
ControllerExecution,Begin#StartRunGo$1370901855.033707$61$7#DoneRunGo$1370901855.033811$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901857.999424$61$6$5#ReleaseBuffer$1370901857.999440$61$6$5#StartRunGo$1370901858.013998$61$6#DoneRunGo$1370901858.015692$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901858.052632$61$7$5#ReleaseBuffer$1370901858.052648$61$7$5#StartRunGo$1370901858.060185$61$7#DoneRunGo$1370901858.060299$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901858.118047$61$6$6#ReleaseBuffer$1370901858.118083$61$6$6#StartRunGo$1370901858.120196$61$6#DoneRunGo$1370901858.122856$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901858.176218$61$7$6#ReleaseBuffer$1370901858.176233$61$7$6#StartRunGo$1370901858.177568$61$7#DoneRunGo$1370901858.177672$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901861.100540$61$6$7#ReleaseBuffer$1370901861.100551$61$6$7#StartRunGo$1370901861.100710$61$6#DoneRunGo$1370901861.101378$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901861.144765$61$7$7#ReleaseBuffer$1370901861.144780$61$7$7#StartRunGo$1370901861.145742$61$7#DoneRunGo$1370901861.145857$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901864.092329$61$6$8#ReleaseBuffer$1370901864.092350$61$6$8#StartRunGo$1370901864.096918$61$6#DoneRunGo$1370901864.097586$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901864.140518$61$7$8#ReleaseBuffer$1370901864.140537$61$7$8#StartRunGo$1370901864.145003$61$7#DoneRunGo$1370901864.145130$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901867.095183$61$6$9#ReleaseBuffer$1370901867.095204$61$6$9#StartRunGo$1370901867.095965$61$6#DoneRunGo$1370901867.097614$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901867.139774$61$7$9#ReleaseBuffer$1370901867.139790$61$7$9#StartRunGo$1370901867.141099$61$7#DoneRunGo$1370901867.141224$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901870.094229$61$6$10#ReleaseBuffer$1370901870.094245$61$6$10#StartRunGo$1370901870.101371$61$6#DoneRunGo$1370901870.102052$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901870.159299$61$7$10#ReleaseBuffer$1370901870.159315$61$7$10#StartRunGo$1370901870.160013$61$7#DoneRunGo$1370901870.160102$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901873.099611$61$6$11#ReleaseBuffer$1370901873.099626$61$6$11#StartRunGo$1370901873.104634$61$6#DoneRunGo$1370901873.107264$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901873.160757$61$7$11#ReleaseBuffer$1370901873.160772$61$7$11#StartRunGo$1370901873.166909$61$7#DoneRunGo$1370901873.167027$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901876.092294$61$6$12#ReleaseBuffer$1370901876.092310$61$6$12#StartRunGo$1370901876.092486$61$6#DoneRunGo$1370901876.098135$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901876.139405$61$7$12#ReleaseBuffer$1370901876.139417$61$7$12#StartRunGo$1370901876.139563$61$7#DoneRunGo$1370901876.139644$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901879.118010$61$6$13#ReleaseBuffer$1370901879.118036$61$6$13#StartRunGo$1370901879.129617$61$6#DoneRunGo$1370901879.132501$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901879.149914$61$7$13#ReleaseBuffer$1370901879.149931$61$7$13#StartRunGo$1370901879.154299$61$7#DoneRunGo$1370901879.154405$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901882.092063$61$6$14#ReleaseBuffer$1370901882.092076$61$6$14#StartRunGo$1370901882.092220$61$6#DoneRunGo$1370901882.092955$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901882.148033$61$7$14#ReleaseBuffer$1370901882.148053$61$7$14#StartRunGo$1370901882.154903$61$7#DoneRunGo$1370901882.155026$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901885.100012$61$6$15#ReleaseBuffer$1370901885.100034$61$6$15#StartRunGo$1370901885.112422$61$6#DoneRunGo$1370901885.117453$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901885.144861$61$7$15#ReleaseBuffer$1370901885.144875$61$7$15#StartRunGo$1370901885.152304$61$7#DoneRunGo$1370901885.152421$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370901888.088177$61$6$16#ReleaseBuffer$1370901888.088197$61$6$16#StartRunGo$1370901888.098997$61$6#DoneRunGo$1370901888.101086$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370901888.139581$61$7$16#ReleaseBuffer$1370901888.139596$61$7$16#StartRunGo$1370901888.140954$61$7#DoneRunGo$1370901888.141050$61$7
