StartController,controller starts
rts,runtime system starts to run
StartRecvModule,start recvModule
ControllerExecution,Begin#NewStatsIn$1369851285.623925$61$2$45#AddNewDataToBuffer$1369851285.623981$61$2$45#NewStatsIn$1369851285.624020$61$2$45#AddNewDataToBuffer$1369851285.624044$61$2$45#NewStatsIn$1369851285.624074$61$2$45#AddNewDataToBuffer$1369851285.624093$61$2$45#NewStatsIn$1369851285.624110$61$2$46#AddNewDataToBuffer$1369851285.624130$61$2$46#ReleaseBuffer$1369851285.624135$61$2$45#StartRunGo$1369851285.624334$61$2#DoneRunGo$1369851285.624420$61$2
ControllerExecution,Begin#NewStatsIn$1369851285.624562$61$2$45#AddNewDataToBuffer$1369851285.624587$61$2$45#NewStatsIn$1369851285.624606$61$2$45#AddNewDataToBuffer$1369851285.624623$61$2$45#NewStatsIn$1369851285.624640$61$2$46#AddNewDataToBuffer$1369851285.624659$61$2$46#NewStatsIn$1369851285.652124$61$2$47#AddNewDataToBuffer$1369851285.652151$61$2$47#ReleaseBuffer$1369851285.652156$61$2$46#StartRunGo$1369851285.652251$61$2#DoneRunGo$1369851285.652365$61$2
ControllerExecution,Begin#NewStatsIn$1369851285.663454$61$2$47#AddNewDataToBuffer$1369851285.663477$61$2$47#NewStatsIn$1369851285.671785$61$2$47#AddNewDataToBuffer$1369851285.671811$61$2$47#NewStatsIn$1369851285.672646$61$2$47#AddNewDataToBuffer$1369851285.672672$61$2$47#NewStatsIn$1369851285.672999$61$2$47#AddNewDataToBuffer$1369851285.673024$61$2$47#NewStatsIn$1369851286.650720$61$2$48#AddNewDataToBuffer$1369851286.650751$61$2$48#ReleaseBuffer$1369851286.650756$61$2$47#StartRunGo$1369851286.650856$61$2#DoneRunGo$1369851286.650924$61$2
ControllerExecution,Begin#NewStatsIn$1369851286.662893$61$2$48#AddNewDataToBuffer$1369851286.662915$61$2$48#NewStatsIn$1369851286.667303$61$2$48#AddNewDataToBuffer$1369851286.667327$61$2$48#NewStatsIn$1369851287.542097$61$2$49#AddNewDataToBuffer$1369851287.542124$61$2$49#ReleaseBuffer$1369851287.542129$61$2$48#StartRunGo$1369851287.542222$61$2#DoneRunGo$1369851287.542288$61$2
ControllerExecution,Begin#NewStatsIn$1369851287.650927$61$2$49#AddNewDataToBuffer$1369851287.650949$61$2$49#NewStatsIn$1369851287.662544$61$2$49#AddNewDataToBuffer$1369851287.662567$61$2$49#NewStatsIn$1369851288.541136$61$2$50#AddNewDataToBuffer$1369851288.541160$61$2$50#ReleaseBuffer$1369851288.541165$61$2$49#StartRunGo$1369851288.541260$61$2#DoneRunGo$1369851288.541320$61$2
ControllerExecution,Begin#NewStatsIn$1369851288.649705$61$2$50#AddNewDataToBuffer$1369851288.649727$61$2$50#NewStatsIn$1369851288.662008$61$2$50#AddNewDataToBuffer$1369851288.662030$61$2$50#NewStatsIn$1369851289.496923$61$2$51#AddNewDataToBuffer$1369851289.496950$61$2$51#ReleaseBuffer$1369851289.496955$61$2$50#StartRunGo$1369851289.497050$61$2#DoneRunGo$1369851289.497109$61$2
ControllerExecution,Begin#NewStatsIn$1369851289.497847$61$2$51#AddNewDataToBuffer$1369851289.497871$61$2$51#NewStatsIn$1369851289.498227$61$2$51#AddNewDataToBuffer$1369851289.498249$61$2$51#NewStatsIn$1369851289.541230$61$2$51#AddNewDataToBuffer$1369851289.541253$61$2$51#NewStatsIn$1369851289.652149$61$2$51#AddNewDataToBuffer$1369851289.652174$61$2$51#NewStatsIn$1369851289.661111$61$2$51#AddNewDataToBuffer$1369851289.661138$61$2$51#ReleaseBuffer$1369851289.661143$61$2$51#StartRunGo$1369851289.661235$61$2#DoneRunGo$1369851289.661303$61$2
ControllerExecution,Begin#NewStatsIn$1369851290.492842$61$2$52#AddNewDataToBuffer$1369851290.492873$61$2$52#NewStatsIn$1369851290.541164$61$2$52#AddNewDataToBuffer$1369851290.541190$61$2$52#NewStatsIn$1369851290.655904$61$2$52#AddNewDataToBuffer$1369851290.655931$61$2$52#NewStatsIn$1369851290.660575$61$2$52#AddNewDataToBuffer$1369851290.660602$61$2$52#ReleaseBuffer$1369851290.660608$61$2$52#StartRunGo$1369851290.660721$61$2#DoneRunGo$1369851290.660787$61$2
ControllerExecution,Begin#NewStatsIn$1369851291.544388$61$2$53#AddNewDataToBuffer$1369851291.544411$61$2$53#NewStatsIn$1369851291.549123$61$2$53#AddNewDataToBuffer$1369851291.549144$61$2$53#NewStatsIn$1369851291.655878$61$2$53#AddNewDataToBuffer$1369851291.655901$61$2$53#NewStatsIn$1369851291.660255$61$2$53#AddNewDataToBuffer$1369851291.660280$61$2$53#ReleaseBuffer$1369851291.660286$61$2$53#StartRunGo$1369851291.660386$61$2#DoneRunGo$1369851291.660510$61$2
ControllerExecution,Begin#NewStatsIn$1369851292.542689$61$2$54#AddNewDataToBuffer$1369851292.542709$61$2$54#NewStatsIn$1369851292.546400$61$2$54#AddNewDataToBuffer$1369851292.546421$61$2$54#NewStatsIn$1369851292.654430$61$2$54#AddNewDataToBuffer$1369851292.654453$61$2$54#NewStatsIn$1369851292.660611$61$2$54#AddNewDataToBuffer$1369851292.660635$61$2$54#ReleaseBuffer$1369851292.660640$61$2$54#StartRunGo$1369851292.660737$61$2#DoneRunGo$1369851292.660800$61$2
