host-049 ec2-72-44-38-93.compute-1.amazonaws.com 10.145.208.73 i-1a64cd74
host-098 ec2-54-224-189-145.compute-1.amazonaws.com 10.145.206.209 i-1a7f0a76
host-112 ec2-23-22-92-30.compute-1.amazonaws.com 10.166.10.98 i-514d4b3a
host-005 ec2-50-16-76-70.compute-1.amazonaws.com 10.154.148.187 i-519a2331
host-037 ec2-67-202-39-136.compute-1.amazonaws.com 10.154.147.253 i-54b0953d
host-034 ec2-23-20-226-70.compute-1.amazonaws.com 10.145.187.51 i-a6e940c5
host-124 ec2-107-22-86-125.compute-1.amazonaws.com 10.154.147.220 i-167e0b7a
host-070 ec2-50-19-19-22.compute-1.amazonaws.com 10.166.2.20 i-4ea3f62d
host-089 ec2-107-22-106-235.compute-1.amazonaws.com 10.145.186.180 i-42b2972b
host-097 ec2-50-16-33-4.compute-1.amazonaws.com 10.166.4.117 i-127f0a7e
host-071 ec2-23-22-32-183.compute-1.amazonaws.com 10.166.3.201 i-0eb39667
host-016 ec2-50-17-174-205.compute-1.amazonaws.com 10.145.207.226 i-f5081995
host-107 ec2-107-21-175-12.compute-1.amazonaws.com 10.166.8.98 i-abdd11c6
host-073 ec2-184-72-177-229.compute-1.amazonaws.com 10.166.10.130 i-aec202c2
host-057 ec2-23-22-234-147.compute-1.amazonaws.com 10.154.149.176 i-f4790c98
host-027 ec2-50-19-17-22.compute-1.amazonaws.com 10.145.206.157 i-699b2209
host-056 ec2-54-235-55-31.compute-1.amazonaws.com 10.166.6.42 i-2ea3f64d
host-062 ec2-50-17-86-214.compute-1.amazonaws.com 10.154.149.92 i-307c095c
host-015 ec2-54-226-102-116.compute-1.amazonaws.com 10.154.149.69 i-fb9b229b
host-052 ec2-50-16-146-148.compute-1.amazonaws.com 10.166.8.95 i-8cb095e5
host-122 ec2-50-16-134-58.compute-1.amazonaws.com 10.166.3.253 i-e34d4b88
host-008 ec2-50-19-147-202.compute-1.amazonaws.com 10.154.149.4 i-a39b22c3
